,UID,col_0,col_1,col_2,col_3,col_4,col_5,col_6,y
0,0,A0,B0,C2,D1,100,E1,F2,237000
1,1,A1,B0,C11,D4,100,E4,F2,86193
2,2,A0,B0,C18,D0,0,E0,F2,169200
3,3,A2,B0,C11,D1,100,E1,F2,58000
4,4,A0,B0,C67,D1,0,E1,F2,235000
5,5,A0,B0,C11,D1,100,E1,F2,170000
6,6,A0,B0,C11,D1,100,E1,F0,183600
7,7,A0,B0,C4,D1,0,E1,F2,100000
8,8,A0,B0,C2,D1,100,E1,F2,175000
9,9,A0,B0,C2,D1,100,E1,F2,136000
10,10,A1,B0,C52,D8,50,E24,F0,55685
11,11,A0,B0,C7,D1,0,E1,F2,175000
12,12,A1,B0,C36,D1,0,E1,F2,120000
13,13,A1,B0,C11,D1,0,E1,F2,150000
14,14,A0,B0,C2,D1,0,E1,F2,152000
15,15,A1,B0,C4,D1,0,E1,F2,72000
16,16,A0,B0,C4,D1,0,E1,F2,140000
17,17,A1,B0,C2,D1,50,E1,F0,130000
18,18,A0,B0,C57,D2,100,E2,F2,248400
19,19,A0,B0,C9,D1,100,E1,F2,212200
20,20,A0,B0,C54,D4,0,E4,F2,127467
21,21,A2,B0,C11,D1,100,E1,F0,129000
22,22,A0,B0,C4,D1,100,E1,F2,201000
23,23,A2,B0,C41,D1,50,E1,F0,100000
24,24,A2,B0,C44,D41,100,E19,F2,40000
25,25,A0,B0,C11,D1,0,E1,F2,270703
26,26,A0,B0,C4,D1,0,E1,F2,139000
27,27,A1,B0,C15,D1,100,E1,F0,180000
28,28,A1,B0,C18,D12,50,E11,F2,62649
29,29,A0,B0,C9,D1,0,E1,F2,189650
30,30,A0,B0,C39,D6,50,E6,F0,40570
31,31,A1,B0,C11,D53,0,E52,F2,12103
32,32,A2,B0,C2,D6,0,E6,F0,9727
33,33,A1,B0,C2,D1,0,E1,F2,105000
34,34,A0,B0,C4,D1,0,E1,F2,187000
35,35,A0,B0,C4,D1,0,E1,F2,128000
36,36,A2,B0,C2,D48,100,E48,F2,17684
