UID,col_0,col_1,col_2,col_3,col_4,col_5,col_6,y
0,A 0,B0,C2,D1,100,E1,F2,237000
1,A1,B0,C11,D4,100,E4,F2,86193
2,A0,B0,C18,D0,0,E0,F2,169200
3,A2,B0,C11,D1,100,E1,F2,58000
4,A0,B0,C67,D1,0,E1,F2,235000
5,A0,B0,C11,D1,100,E1,F2,170000
6,AO,B0,C11,D1,100,E1,F0,183600
7,A0,B0,C4,D1,0,E1,F2,100000
8,A0,B0,C2,D1,100,E1,F2,175000
9,A0,B0,C2,D1,100,E1,F2,136000
10,A1,B0,C52,D8,50,E24,F0,55685
11,A0,B0,C7,D1,0,E1,F2,175000
12,A1,B0,C36,D1,0,E1,F2,120000
13,A1,B0,C11,D1,0,E1,F2,150000
14,A0,B0,C2,D1,0,E1,F2,152000
15,A1,B0,C4,D1,0,E1,F2,72000
16,A0,B0,C4,D1,0,E1,F2,140000
17,A1,B0,C2,D1,50,E1,F0,130000
18,A0,B 0,C57,D2,100,E2,F2,248400
19,A0,B0,C9,D1,100,E1,F2,212200
20,,B0,C54,D4,0,E4,F2,127467
21, A2   ,B0,C11,D1,100,E1,F0,129000
22,A0,B0,C4,D1,100,E1,F2,201000
23,A2,B0,C41,D1,50,E1,F0,100000
24,A2,B0,C44,D41,100,E19,F2,40000
25,A0, B0   ,C11,D1,0,E1,F2,270703
26,A0,B0,C4,D1,0,E1,F2,139000
27,A1,B0,C15,D1,100,E1,F0,180000
28,A1,B0,C18,D12,50,E11,F2,62649
29,A0,B0,C9,D1,0,E1,F2,189650
30,A0   ,,C39,D6,50,E6,F0,40570
31,A 1,B0,C11,D53,0,E52,F2,12103
32,A2,B0,C2,D6,0,E6,F0,9727
33,A1,B0,C2,D1,0,E1,F2,105000
34,A0,B0,C4,D1,0,E1,F2,187000
35, A0   ,B0,C4,D1,0,E1,F2,128000
36,A2,B0,C2,D48,100,E48,F2,17684
37,A0,B0   ,C40,D1,100,E1,F0,170000
38,A1,B0,C59,D66,0,E63,F1,20000
39,,B0,C4,D1,0,E1,F2,150000
40,A0,B0,C4,D1,100,E1,,140000
41,A 0,B0,C11,D1,0,E1,F2,139500
42,A0,B0,C2,D1,100,E1,F2,145000
43, A0   ,B0,C11,D1,100,E1,,200100
44,A0,B0,C2,D1,100,E1,F2,104000
45,A2,B0,C2,D6,50,E6,F0,29751
46,A2,B0,C2,D1,0,E1,F1,100000
47,A0,B0,C7,D4,100,E4,F2,102663
48,A0,B0,C18,D1,100,E1,F2,210000
49,A0,B0,C11,D1,100,E1,F2,120000
50,A0,,C27,D1,0,E1,F2,168400
51,,B0,C9,D1,100,E1,F2,280700
52,A1,B0,C11,D1,100,E1,F0,100000
53,A0,B0,C2,D1,100,E1,F2,191475
54,A1,B0,C29,D0,50,E36,F2,60000
55,A0,B0,C3,D1,0,E1,F0,260000
56,A0,B0   ,C7,D1,0,E1,,150000
57,A0,B0,C9,D1,0,E1,F2,204500
58,A3,B0,C11,D1,100,E1,,236000
59,A1,B0,C4,D1,0,E1,F2,60000
60,A0,B0,C2,D1,100,E1,,211500
61,A 1,B0,C49,D26,100,E23,F2,78000
62,A0,B0,C4,D1,100,E1,F2,165000
63,A2,B0,C4,D26,100,E23,F0,7799
64,A0,B0,C4,D0,0,E0,F2,50432
65,A3,B0,C33,D42,100,E40,F0,153667
66,A0,B0,C9,D1,0,E1,,323300
67,A1,B0,C2,D4,0,E4,F2,110820
68,A0,B0,C6,D1,0,E1,F2,139000
69,A0,B0,C4,D0,0,E0,F2,36773
70,A3,B0,C11,D1,100,E1,F2,210914
71,A2,B0,C6,D1,0,E1,F2,155000
72,A0,B0   ,C15,D1,100,E1,F0,195400
73,A1,B0,C11,D1,0,E1,F2,111775
74,A0,B0,C9,D1,100,E1,F2,148800
75,A1,B0,C2,D12,100,E11,F2,52533
76,A0,B0,C2,D1,0,E1,F2,225000
77,,B0,C11,D1,100,E1,F2,153000
78,A0,B0,C4,D1,100,E1,F2,75000
79,A2,B0,C53,D36,100,E32,F1,9272
80,AO,B0,C11,D1,100,E1,F2,150000
81,A0,B2,C12,D68,100,E1,F1,60000
82,A 0,B0,C3,D1,0,E1,F0,159100
83,A0,B0,C2,D1,100,E1,F2,156400
84,A0,,C11,D1,100,E1,F2,135000
85,A0,B0,C11,D1,0,E1,F2,115000
86,A0,B0,C2,D1,0,E1,F2,190000
87,A1,B0,C1,D1,100,E1,F2,180000
88,A0,B0,C11,D1,100,E1,F2,96100
89,A0,B0,C2,D1,0,E1,F2,191475
90,A0,B0,C4,D1,0,E1,F2,130000
91,A0,B0,C11,D1,0,E1,F2,145000
92,A2,B0,C4,D1,100,E1,F2,75000
93,A0,B0,C2,D1,100,E1,F2,172000
94,A0,B0,C2,D1,0,E1,F2,170000
95,A0,B0,C4,D1,0,E1,F2,110600
96,A0,B0,C2,D1,100,E1,F2,285800
97,A0,B0,C9,D4,0,E4,F2,195652
98,A2,B3,C2,D42,50,E38,F1,21669
99,A0   ,B 0,C11,D1,0,E1,F2,191200
100,A0,B0,C11,D1,0,E1,F2,109400
101,A0,B0,C11,D1,0,E1,F2,130000
102,A0,B0,C11,D1,0,E1,F2,180000
103,A0,B0,C2,D1,100,E1,F2,201450
104,,B0,C2,D1,0,E1,F2,228000
105,A0,B0,C2,D1,0,E1,F2,144000
106,A2,B0,C56,D1,0,E1,F2,150000
107,A0,B0,C11,D1,0,E1,F0,240500
108,A0,B0,C11,D1,0,E1,F2   ,145000
109,A0,B 0,C11,D1,100,E1,F2,156600
110,A 1,B0,C11,D0,100,E0,F2,59020
111,A0,B0,C11,D1,0,E1,F2,176000
112,A0,B0,C2,D1,0,E1,F2,147100
113,A1,B0,C2,D1,100,E1,F2,150000
114,A0,B0,C11,D1,100,E1,F2,160000
115,A0,B0,C9,D1,0,E1,F2,276000
116,A0,B0,C15,D1,100,E1,F2,115000
117,A0,B0,C4,D1,0,E1,F2,95000
118,A0   ,B0,C67,D1,0,E1,F2,275000
119,A2,B0,C11,D4,100,E4,F2,49253
120,A0,B0,C4,D1,0,E1,F2,105200
121,A0,B0,C2,D1,100,E1,F2,141525
122,A0,B0,C30,D1,0,E1,F2,70000
123,A0,B0,C6,D1,0,E1,F2,155850
124,A0,B0   ,C81,D6,100,E18,F0,8000
125,A0,B0   ,C4,D1,0,E1,F2,120000
126,AO,B0,C11,D1,0,E1,F2,114500
127, A0   ,B0   ,C11,D1,0,E1,F2,170000
128,A0,B0,C3,D1,0,E1,F2,180000
129,,B0,C2,D54,100,E69,F0,40038
130,A1,B0,C2,D4,0,E4,F2,85066
131,A3,B0,C11,D1,100,E1,F2,200000
132,,B0,C4,D1,0,E1,F2,177000
